id,category,question,answer,keywords,priority
1,Sản phẩm,Kinetic đang có những dòng xe nào?,Kinetic hiện có các mẫu xe điện và xe đạp điện đang bán trên website. Bạn có thể hỏi theo ngân sách hoặc nhu cầu để mình lọc mẫu phù hợp.,sản phẩm san pham mẫu xe mau xe xe điện xe dien xe đạp điện xe dap dien đang có dang co bán gì ban gi,high
2,Pin và quãng đường,Xe đi được bao nhiêu km mỗi lần sạc?,Quãng đường tối đa phụ thuộc từng mẫu xe và điều kiện sử dụng. Mình có thể gợi ý mẫu có tầm đi xa nếu bạn cho biết mỗi ngày đi khoảng bao nhiêu km.,pin quãng đường quang duong tầm đi tam di km sạc sac đi xa di xa,high
3,Sạc pin,Thời gian sạc pin mất bao lâu?,Thời gian sạc phụ thuộc dung lượng pin và bộ sạc của từng mẫu. Khi xem mẫu xe cụ thể mình sẽ nói rõ thời gian sạc nếu dữ liệu có trong thông số.,sạc sac pin thời gian sạc thoi gian sac bao lâu bao lau,medium
4,Bảo hành,Xe có bảo hành không?,Xe có thông tin bảo hành theo từng mẫu trong thông số sản phẩm. Nếu cần bảo hành chi tiết pin động cơ khung xe bạn nên liên hệ showroom để được xác nhận theo phiếu mua hàng.,bảo hành bao hanh guarantee pin động cơ dong co khung,high
5,Showroom,Có showroom ở đâu?,Hệ thống hiện hỗ trợ nhận xe tại các showroom đang hoạt động. Bạn có thể hỏi showroom theo quận hoặc thành phố để mình liệt kê địa chỉ phù hợp.,showroom cửa hàng cua hang địa chỉ dia chi nhận xe nhan xe quận quan tphcm,high
6,Nhận xe,Có giao hàng tận nhà không?,Luồng đặt hàng hiện ưu tiên nhận xe tại showroom. Khách hàng chọn quận và showroom nhận xe khi checkout để showroom liên hệ hoàn tất bàn giao.,giao hàng giao hang nhận xe nhan xe showroom checkout vận chuyển van chuyen,high
7,Đặt hàng,Đặt hàng cần thông tin gì?,Khi đặt hàng bạn cần đăng nhập và nhập họ tên số điện thoại email CCCD showroom nhận xe địa chỉ cụ thể và ghi chú nếu có.,đặt hàng dat hang thông tin thong tin cccd email số điện thoại so dien thoai địa chỉ dia chi,high
8,Phí đăng ký,Phí đăng ký là bao nhiêu?,Hệ thống đang tính phí đăng ký 2500000 VND và ưu đãi showroom 1200000 VND trong báo giá checkout.,phí đăng ký phi dang ky ưu đãi uu dai showroom báo giá bao gia tổng thanh toán tong thanh toan,high
9,Thanh toán,Có thanh toán VNPay được không?,Có. Khi checkout bạn có thể chọn VNPay để thanh toán qua cổng thanh toán sandbox hoặc cấu hình thật khi merchant được phê duyệt.,thanh toán thanh toan vnpay cổng thanh toán cong thanh toan atm qr,high
10,Thanh toán,Thanh toán không thành công thì sao?,Nếu giao dịch VNPay chưa thành công đơn hàng sẽ chưa được xác nhận thanh toán. Bạn có thể thanh toán lại hoặc liên hệ showroom để kiểm tra trạng thái đơn.,vnpay lỗi loi thất bại that bai thanh toán lại thanh toan lai trạng thái đơn trang thai don,medium
11,Đổi trả,Chính sách đổi trả như thế nào?,Chính sách đổi trả cần được showroom xác nhận theo tình trạng xe và chứng từ mua hàng. Bạn nên liên hệ showroom nơi nhận xe để được hướng dẫn.,đổi trả doi tra hoàn tiền hoan tien refund return chính sách chinh sach,medium
12,Tư vấn,Tôi nên chọn xe nào?,Mình có thể gợi ý xe theo ngân sách quãng đường mỗi ngày tốc độ kiểu dáng và nhu cầu đi học đi làm. Hãy cho mình biết ngân sách và cách bạn dùng xe.,tư vấn tu van chọn xe chon xe nên mua nen mua nhu cầu nhu cau ngân sách ngan sach,high
